Company Name,Count,Percentage Allocation,Asset Type,Symbol
Mankind Pharma Ltd.,4,2.42,Equity,
ICICI Lombard General Insurance Company Ltd.,2,2.42,Equity,ICICIBANK
Inox Wind Ltd.,2,2.41,Equity,INOXWIND
LIC Housing Finance Ltd.,2,2.39,Equity,LICHSGFIN
Aavas Financiers Ltd. (Erstwhile A U Housing Finance),2,2.38,Equity,AAVAS
STAR HEALTH & ALLIED INSURANCE COMPANY Ltd.,3,2.35,Equity,STARHEALTH
Kirloskar Oil Engines Ltd.,1,2.29,Equity,KIRLOSENG
Chalet Hotels Ltd.,4,2.27,Equity,CHALET
Nazara Technologies Ltd.,2,2.26,Equity,NAZARA
Senco Gold Ltd.,2,2.25,Equity,
Paradeep Phosphates Ltd.,1,2.25,Equity,PARADEEP
Minda Corporation Ltd.,1,2.24,Equity,UNOMINDA
Transport Corporation Of India Ltd.,2,2.24,Equity,TCI
ICRA Ltd.,2,2.23,Equity,ICRA
CMS Info Systems Ltd.,2,2.21,Equity,CMSINFO
Karnataka Bank Ltd.,2,2.21,Equity,KTKBANK
Suzlon Energy Ltd.,3,2.21,Equity,SUZLON
KNR Constructions Ltd.,3,2.21,Equity,KNRCON
Neogen Chemicals Ltd.,2,2.2,Equity,NEOGEN
HFCL Ltd.,1,2.18,Equity,HFCL
Jupiter Life Line Hospitals Ltd.,2,2.16,Equity,JWL
3M India Ltd.,2,2.16,Equity,3MINDIA
GE T&D India Ltd.,2,2.14,Equity,VBL
Gujarat Fluorochemicals Ltd.,3,2.12,Equity,FLUOROCHEM
HDFC Life Insurance Company Ltd.,2,2.1100000000000003,Equity,HDFCBANK
Delhivery Ltd.,2,2.07,Equity,DELHIVERY
Adani Power Ltd.,1,2.06,Equity,ADANIENT
Kewal Kiran Clothing Ltd.,2,2.05,Equity,KKCL
Sanofi India Ltd.,2,2.04,Equity,SANOFI
Orient Cement Ltd.,2,2.03,Equity,ORIENTELEC
JSW Energy Ltd.,3,2.03,Equity,JSWSTEEL
Syngene International Ltd.,3,2.02,Equity,SYNGENE
GAIL (India) Ltd.,2,2.02,Equity,GAIL
Bajaj Electricals Ltd.,3,2.01,Equity,BAJFINANCE
JSW Infrastructure Ltd. (Erstwhile Sarvoday Advisory Services Pvt. Ltd.),2,1.99,Equity,JSWSTEEL
Sun T V Network Ltd.,1,1.99,Equity,SUNPHARMA
Zensar Technologies Ltd.,2,1.97,Equity,ZENSARTECH
CARE Ratings Ltd.,3,1.94,Equity,PGHH
JK Lakshmi Cement Ltd.,3,1.94,Equity,JKCEMENT
Fsn ECommerce Ventures Ltd.,2,1.92,Equity,NYKAA
Info Edge (India) Ltd.,3,1.88,Equity,INFY
Greenply Industries Ltd.,2,1.88,Equity,GREENPLY
Tata Technologies Ltd.,5,1.86,Equity,TCS
Bayer Cropscience Ltd.,2,1.85,Equity,
The South Indian Bank Ltd.,1,1.84,Equity,INDHOTEL
NLC India Ltd.,2,1.84,Equity,NLCINDIA
Sansera Engineering Ltd.,2,1.81,Equity,SANSERA
Graphite India Ltd.,2,1.81,Equity,GRAPHITE
Voltamp Transformers Ltd.,3,1.77,Equity,VOLTAMP
GMM Pfaudler Ltd.,2,1.77,Equity,GMMPFAUDLR
VRL Logistics Ltd.,3,1.77,Equity,VRLLOG
Emami Ltd.,2,1.77,Equity,EMAMILTD
Eureka Forbes Ltd.,2,1.75,Equity,
Dr Reddys Laboratories Ltd.,3,1.74,Equity,KOTAKBANK
KEC International Ltd.,3,1.73,Equity,KEC
Pitti Engineering Ltd.,1,1.69,Equity,PITTIENG
The Supreme Industries Ltd.,2,1.6800000000000002,Equity,INDHOTEL
Hindustan Aeronautics Ltd.,2,1.6800000000000002,Equity,HINDUNILVR
BEML Ltd.,2,1.6700000000000002,Equity,BEML
Gabriel India Ltd.,2,1.65,Equity,GABRIEL
Thermax Ltd.,2,1.63,Equity,THERMAX
Tata Consumer Products Ltd.,2,1.63,Equity,TCS
Restaurant Brands Asia Ltd.,3,1.62,Equity,RBA
R R Kabel Ltd.,2,1.61,Equity,RELIANCE
Mahanagar Gas Ltd.,2,1.61,Equity,MGL
Protean Egov Technologies Ltd.,2,1.61,Equity,
Galaxy Surfactants Ltd.,1,1.59,Equity,GALAXYSURF
Sumitomo Chemical India Ltd.,2,1.55,Equity,SUMICHEM
SJVN Ltd.,1,1.55,Equity,SJVN
Navneet Education Ltd.,1,1.54,Equity,NAVNETEDUL
TV18 Broadcast Ltd.,1,1.52,Equity,TV18BRDCST
Carysil Ltd.,1,1.52,Equity,CARYSIL
Rail Vikas Nigam Ltd.,1,1.51,Equity,IRCTC
Piramal Pharma Ltd.,2,1.51,Equity,PEL
Avanti Feeds Ltd.,2,1.5,Equity,AVANTIFEED
Oil & Natural Gas Corporation Ltd.,2,1.4500000000000002,Equity,ONGC
G R Infraprojects Ltd.,2,1.45,Equity,HDFC
Saregama India Ltd.,2,1.44,Equity,SAREGAMA
Sula Vineyards Ltd.,2,1.44,Equity,SULA
La Opala RG Ltd.,2,1.44,Equity,LT
Tega Industries Ltd.,2,1.41,Equity,TEGA
