Sector Name,Dummy,Percentage Allocation,Scheme Name,Fund House,Type,Sub-Category,Category
Sovereign,,89.37%,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Medium to Long Duration Fund,Debt
Financial Services,,6.94%,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Medium to Long Duration Fund,Debt
Current Assets,,2.91%,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Medium to Long Duration Fund,Debt
Construction,,0.57%,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Medium to Long Duration Fund,Debt
Mutual Funds,,0.22%,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Medium to Long Duration Fund,Debt
Fast Moving Consumer Goods,,27.71%,Aditya Birla Sun Life India GenNext Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Financial Services,,21.89%,Aditya Birla Sun Life India GenNext Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Automobile and Auto Components,,11.66%,Aditya Birla Sun Life India GenNext Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Consumer Services,,11.47%,Aditya Birla Sun Life India GenNext Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Consumer Durables,,8.40%,Aditya Birla Sun Life India GenNext Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Thematic,Equity
Capital Goods,,27.04%,Aditya Birla Sun Life Infrastructure Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
Construction,,23.90%,Aditya Birla Sun Life Infrastructure Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
Financial Services,,7.29%,Aditya Birla Sun Life Infrastructure Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
Construction Materials,,6.68%,Aditya Birla Sun Life Infrastructure Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
"Oil, Gas & Consumable Fuels",,5.57%,Aditya Birla Sun Life Infrastructure Fund,Aditya Birla Sun Life Mutual Fund,Open Ended,Sectoral,Equity
